Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Access Type,Source,EID
"Bonadonna G., Torti V., De Gregorio C., Valente D., Randrianarison R.M., Pozzi L., Gamba M., Giacoma C.","55808790100;55082083300;57195530933;57190488065;25638712500;15030284100;23392458000;6603575526;","Evidence of genetic monogamy in the lemur Indri (Indri indri)",2019,"American Journal of Primatology","81","6", e22993,"","",,,"10.1002/ajp.22993","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069540072&doi=10.1002%2fajp.22993&partnerID=40&md5=c387e0aa0ccb8066725854c67b54e9c3","Department of Life Sciences and Systems Biology, University of Torino, Torino, Italy; Research and Training Division, Group d’Etude et de Recherche sur les Primates de Madagascar (GERP), Antananarivo, Madagascar; Department of Anthropology, The University of Texas at San Antonio, San Antonio, TX, United States","Bonadonna, G., Department of Life Sciences and Systems Biology, University of Torino, Torino, Italy; Torti, V., Department of Life Sciences and Systems Biology, University of Torino, Torino, Italy; De Gregorio, C., Department of Life Sciences and Systems Biology, University of Torino, Torino, Italy; Valente, D., Department of Life Sciences and Systems Biology, University of Torino, Torino, Italy; Randrianarison, R.M., Research and Training Division, Group d’Etude et de Recherche sur les Primates de Madagascar (GERP), Antananarivo, Madagascar; Pozzi, L., Department of Anthropology, The University of Texas at San Antonio, San Antonio, TX, United States; Gamba, M., Department of Life Sciences and Systems Biology, University of Torino, Torino, Italy; Giacoma, C., Department of Life Sciences and Systems Biology, University of Torino, Torino, Italy","Bonadonna, G.; Department of Life Sciences and Systems Biology, University of TorinoItaly; email: bonadonnagiovanna@gmail.com",,"John Wiley and Sons Inc.",02752565,,AJPTD,"31180154","English","Am. J. Primatol.",Article,"Final",,Scopus,2-s2.0-85069540072
"Xie Y.","56454581100;","Design Science [论设计科学]",2019,"Shanghai Jiaotong Daxue Xuebao/Journal of Shanghai Jiaotong University","53","7",,"873","880",,,"10.16183/j.cnki.jsjtu.2019.07.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072402340&doi=10.16183%2fj.cnki.jsjtu.2019.07.015&partnerID=40&md5=6bda9d5c58da17170c241b697f9fcc86","School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, 200240, China; School of Mechanical Engineering, Xi'an Jiaotong University, Xi'an, 710049, China","Xie, Y., School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, 200240, China, School of Mechanical Engineering, Xi'an Jiaotong University, Xi'an, 710049, China","Xie, Y.; School of Mechanical Engineering, Shanghai Jiao Tong UniversityChina; email: ybxie@mail.sjtu.edu.cn",,"Shanghai Jiao Tong University",10062467,,SCTPD,,"Chinese","Shanghai Jiaotong Daxue Xuebao",Article,"Final",,Scopus,2-s2.0-85072402340
"Villarreal L.P., Witzany G.","56827729100;14629725000;","That is life: communicating RNA networks from viruses and cells in continuous interaction",2019,"Annals of the New York Academy of Sciences","1447","1",,"5","20",,1,"10.1111/nyas.14040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063014153&doi=10.1111%2fnyas.14040&partnerID=40&md5=3cc779018cee5b72afa05e6615e361f4","Department of Molecular Biology and Biochemistry, University of California, Irvine, CA, United States; Telos–Philosophische Praxis, Buermoos, Austria","Villarreal, L.P., Department of Molecular Biology and Biochemistry, University of California, Irvine, CA, United States; Witzany, G., Telos–Philosophische Praxis, Buermoos, Austria","Witzany, G.; Telos–Philosophische PraxisAustria; email: witzany@sbg.at",,"Blackwell Publishing Inc.",00778923,,ANYAA,"30865312","English","Ann. New York Acad. Sci.",Article,"Final",,Scopus,2-s2.0-85063014153
"Zaby S.","56027301400;","Science mapping of the global knowledge base on microfinance: Influential authors and documents, 1989-2019",2019,"Sustainability (Switzerland)","11","14", 3883,"","",,1,"10.3390/su11143883","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073898290&doi=10.3390%2fsu11143883&partnerID=40&md5=166c5cb0fcd6b6c9e18b0bc8751599d5","Center for Research on Sustainable Leadership, College of Management, Mahidol University, 69 Vipavadee Rangsit Rd., Bangkok, 10400, Thailand","Zaby, S., Center for Research on Sustainable Leadership, College of Management, Mahidol University, 69 Vipavadee Rangsit Rd., Bangkok, 10400, Thailand","Zaby, S.; Center for Research on Sustainable Leadership, College of Management, Mahidol University, 69 Vipavadee Rangsit Rd., Thailand; email: simon.zab@mahidol.ac.th",,"MDPI AG",20711050,,,,"English","Sustainability",Review,"Final",Open Access,Scopus,2-s2.0-85073898290
"Sliz-Szkliniarz B., Eberbach J., Hoffmann B., Fortin M.","36773895400;57205254618;57190810425;57212743673;","Assessing the cost of onshore wind development scenarios: Modelling of spatial and temporal distribution of wind power for the case of Poland",2019,"Renewable and Sustainable Energy Reviews","109",,,"514","531",,,"10.1016/j.rser.2019.04.039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064562119&doi=10.1016%2fj.rser.2019.04.039&partnerID=40&md5=727b0a5c51b2c98116198f6c6a935983","EIfER Europäisches Institut für Energieforschung EDF-KIT EWIV, Emmy-Noether-Str. 11, Karlsruhe, 76131, Germany; Electricité de France SA (EDF), 22-30, Avenue de Wagram, Paris, 75008, France","Sliz-Szkliniarz, B., EIfER Europäisches Institut für Energieforschung EDF-KIT EWIV, Emmy-Noether-Str. 11, Karlsruhe, 76131, Germany; Eberbach, J., EIfER Europäisches Institut für Energieforschung EDF-KIT EWIV, Emmy-Noether-Str. 11, Karlsruhe, 76131, Germany; Hoffmann, B., EIfER Europäisches Institut für Energieforschung EDF-KIT EWIV, Emmy-Noether-Str. 11, Karlsruhe, 76131, Germany; Fortin, M., Electricité de France SA (EDF), 22-30, Avenue de Wagram, Paris, 75008, France","Sliz-Szkliniarz, B.; EIfER Europäisches Institut für Energieforschung EDF-KIT EWIV, Emmy-Noether-Str. 11, Germany; email: sliz@eifer.uni-karlsruhe.de",,"Elsevier Ltd",13640321,,RSERF,,"English","Renewable Sustainable Energy Rev",Article,"Final",,Scopus,2-s2.0-85064562119
"Shuai M.","57209709788;","Lost trust and dissolved guanxi circles: A case study of a collective resignation event at Tianyuan Tea Company",2019,"Chinese Journal of Sociology","5","3",,"374","406",,,"10.1177/2057150X19856285","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068156588&doi=10.1177%2f2057150X19856285&partnerID=40&md5=81b702692d5ce74ca76dac9be86a01d5","Department of Sociology, Xi’an Jiaotong University, China","Shuai, M., Department of Sociology, Xi’an Jiaotong University, China","Shuai, M.; Department of Sociology, Xi’an Jiaotong UniversityChina; email: shuaiman1234@xjtu.edu.cn",,"SAGE Publications Ltd",2057150X,,,,"English","Chin. J. Sociol.",Article,"Final",,Scopus,2-s2.0-85068156588
"Mostafa Bozorgi S., Yazdani S.","57209141267;54790424500;","IWOA: An improved whale optimization algorithm for optimization problems",2019,"Journal of Computational Design and Engineering","6","3",,"243","259",,5,"10.1016/j.jcde.2019.02.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066628551&doi=10.1016%2fj.jcde.2019.02.002&partnerID=40&md5=eab0828137243897f2e2f9dd39c4cb50","Department of Computer Engineering, North Tehran Branch, Islamic Azad University, Tehran, Iran","Mostafa Bozorgi, S., Department of Computer Engineering, North Tehran Branch, Islamic Azad University, Tehran, Iran; Yazdani, S., Department of Computer Engineering, North Tehran Branch, Islamic Azad University, Tehran, Iran","Yazdani, S.; Department of Computer Engineering, North Tehran Branch, Islamic Azad UniversityIran; email: s_yazdani@iau-tnb.ac.ir",,"Society for Computational Design and Engineering",22884300,,,,"English","J. Comput. Des. Eng.",Article,"Final",Open Access,Scopus,2-s2.0-85066628551
"Baker M.D., Nabell M.E., Thomas N., Sloan H.N., Utter R.L., Hall A., Fox N.D., Beringer J.A.","55461417500;57204824014;57204824488;57208301758;57204826395;57034684300;57204819394;57204828748;","Corrigendum to ‘Going the distance, going for speed: Honest signaling and the benefits of exercising with an opposite-sex partner’ [Evolution and Human Behavior Volume 40, Issue 2, March 2019, Pages 167-175](S109051381630318X)(10.1016/j.evolhumbehav.2018.10.004)",2019,"Evolution and Human Behavior","40","4",,"406","",,,"10.1016/j.evolhumbehav.2019.04.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064384505&doi=10.1016%2fj.evolhumbehav.2019.04.005&partnerID=40&md5=5da5e4af30f099f6d0e0ddda32a278fe","East Carolina University, United States","Baker, M.D., East Carolina University, United States; Nabell, M.E., East Carolina University, United States; Thomas, N., East Carolina University, United States; Sloan, H.N., East Carolina University, United States; Utter, R.L., East Carolina University, United States; Hall, A., East Carolina University, United States; Fox, N.D., East Carolina University, United States; Beringer, J.A., East Carolina University, United States","Baker, M.D.; East Carolina UniversityUnited States; email: bakermich@ecu.edu",,"Elsevier Inc.",10905138,,EHBEF,,"English","Evol. Hum. Behav.",Erratum,"Final",Open Access,Scopus,2-s2.0-85064384505
"Lee C., Kogler D.F., Lee D.","57192834038;36023860700;56900097000;","Capturing information on technology convergence, international collaboration, and knowledge flow from patent documents: A case of information and communication technology",2019,"Information Processing and Management","56","4",,"1576","1591",,,"10.1016/j.ipm.2018.09.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053940791&doi=10.1016%2fj.ipm.2018.09.007&partnerID=40&md5=f60bccf59eba1d40ad9fe5b48fd20810","Spatial Dynamics Lab, School of Architecture, Planning & Environmental Policy, University College Dublin, Ireland; Interaction Science, Sungkyunkwan UniversitySeoul, South Korea","Lee, C., Spatial Dynamics Lab, School of Architecture, Planning & Environmental Policy, University College Dublin, Ireland; Kogler, D.F., Spatial Dynamics Lab, School of Architecture, Planning & Environmental Policy, University College Dublin, Ireland; Lee, D., Interaction Science, Sungkyunkwan UniversitySeoul, South Korea","Lee, D.; Interaction Science, Sungkyunkwan UniversitySouth Korea; email: daeho.lee@skku.edu",,"Elsevier Ltd",03064573,,IPMAD,,"English","Inf. Process. Manage.",Article,"Final",,Scopus,2-s2.0-85053940791
"Velez G.M.","57192983520;","Building Human Rights Consciousness in Postconflict Societies: Peruvian Adolescents’ Understandings of Human Rights",2019,"Journal of Adolescent Research","34","4",,"438","463",,,"10.1177/0743558417722519","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067183903&doi=10.1177%2f0743558417722519&partnerID=40&md5=c831bd2c840f75d247f23210375b6d41","The University of ChicagoIL, United States","Velez, G.M., The University of ChicagoIL, United States","Velez, G.M.; The University of ChicagoUnited States; email: gmvelez@uchicago.edu",,"SAGE Publications Inc.",07435584,,,,"English","J. Adolesc. Res.",Article,"Final",,Scopus,2-s2.0-85067183903
"Lo C.O., Porath M., Yu H.-P., Chen C.-M., Tsai K.-F., Wu I.-C.","55990695500;6701537983;57194555321;57205270984;57205272542;57205272363;","Giftedness in the Making: A Transactional Perspective",2019,"Gifted Child Quarterly","63","3",,"172","184",,1,"10.1177/0016986218812474","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059348200&doi=10.1177%2f0016986218812474&partnerID=40&md5=dcd1de496caa718ac06982b3e0ef200d","University of British Columbia, Vancouver, BC, Canada; National Taiwan Normal University, Taipei City, Taiwan; National Kaohsiung Normal University, Kaohsiung, Taiwan; National Pingtung University, Pingtung, Taiwan","Lo, C.O., University of British Columbia, Vancouver, BC, Canada; Porath, M., University of British Columbia, Vancouver, BC, Canada; Yu, H.-P., National Taiwan Normal University, Taipei City, Taiwan; Chen, C.-M., National Kaohsiung Normal University, Kaohsiung, Taiwan; Tsai, K.-F., National Pingtung University, Pingtung, Taiwan; Wu, I.-C., University of British Columbia, Vancouver, BC, Canada","Lo, C.O.; University of British ColumbiaCanada; email: owen.lo@ubc.ca",,"SAGE Publications Inc.",00169862,,,,"English","Gifted Child Q.",Article,"Final",Open Access,Scopus,2-s2.0-85059348200
"Fasoulis I., Kurt R.E.","57210644599;55173219200;","Embracing sustainability in shipping: Assessing industry's adaptations incited by the, newly, introduced 'triple bottom line' approach to sustainable maritime development",2019,"Social Sciences","8","7", 208,"","",,,"10.3390/socsci8070208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071157481&doi=10.3390%2fsocsci8070208&partnerID=40&md5=1e24c3eed9e0d4a20d5178873534e339","Department of Naval Architecture, Ocean and Marine Engineering, University of Strathclyde, 100 Montrose St, Glasgow, G4 0LZ, United Kingdom","Fasoulis, I., Department of Naval Architecture, Ocean and Marine Engineering, University of Strathclyde, 100 Montrose St, Glasgow, G4 0LZ, United Kingdom; Kurt, R.E., Department of Naval Architecture, Ocean and Marine Engineering, University of Strathclyde, 100 Montrose St, Glasgow, G4 0LZ, United Kingdom","Fasoulis, I.; Department of Naval Architecture, Ocean and Marine Engineering, University of Strathclyde, 100 Montrose St, United Kingdom; email: ioannis.fasoulis@strath.ac.uk",,"MDPI AG",20760760,,,,"English","Soc. Sci.",Article,"Final",Open Access,Scopus,2-s2.0-85071157481
"Heywood M.","7004575459;","South Africa’s journey from socialism to human rights: The true confessions of an errant socialist",2019,"Journal of Human Rights Practice","11","2",,"305","323",,1,"10.1093/jhuman/huz016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071152226&doi=10.1093%2fjhuman%2fhuz016&partnerID=40&md5=c6f955f627e806567fc16d448c6fdba7","SECTION27, South Africa; Treatment Action Campaign (TAC), South Africa","Heywood, M., SECTION27, South Africa, Treatment Action Campaign (TAC), South Africa","Heywood, M.; SECTION27South Africa",,"Oxford University Press",17579619,,,,"English","J. Hum. Rights Pract.",Review,"Final",,Scopus,2-s2.0-85071152226
"Altimimi H.A., Aljawadi H.F., Ali E.A.","57210258291;57192644563;57189849309;","Inborn errors of metabolism in children with unexplained developmental delay in misan, Iraq",2019,"Oman Medical Journal","34","4",,"297","301",,,"10.5001/omj.2019.59","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070070122&doi=10.5001%2fomj.2019.59&partnerID=40&md5=b8f08c6e29696c8237ef2758991b3deb","Pediatrics Department, Misan Hospital for Child and Maternity, Misan, Iraq; Pediatrics Department, College of Medicine, Misan University, Misan, Iraq","Altimimi, H.A., Pediatrics Department, Misan Hospital for Child and Maternity, Misan, Iraq; Aljawadi, H.F., Pediatrics Department, College of Medicine, Misan University, Misan, Iraq; Ali, E.A., Pediatrics Department, College of Medicine, Misan University, Misan, Iraq","Aljawadi, H.F.; Pediatrics Department, College of Medicine, Misan UniversityIraq; email: drhussein1969@gmail.com",,"Oman Medical Specialty Board",1999768X,,,,"English","Oman Med. J.",Article,"Final",Open Access,Scopus,2-s2.0-85070070122
"Aalbers H.L., Dolfsma W.","56201065300;55921357300;","Resilience of information flow during restructuring: Characterizing information value being exchanged and the structure of a network under turmoil",2019,"Journal of Business Research","100",,,"299","310",,,"10.1016/j.jbusres.2019.03.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064093133&doi=10.1016%2fj.jbusres.2019.03.003&partnerID=40&md5=8bc9d742cdd658cf785b92d4a39c90bc","Radboud University, Institute for Management Research, Centre for Organization Restructuring, PO Box 9108, Ostrom Building - Office 02.747, Nijmegen, HK  6500, Netherlands; Wageningen University & Research, PO Box 8130, Wageningen, EW  6700, Netherlands","Aalbers, H.L., Radboud University, Institute for Management Research, Centre for Organization Restructuring, PO Box 9108, Ostrom Building - Office 02.747, Nijmegen, HK  6500, Netherlands; Dolfsma, W., Wageningen University & Research, PO Box 8130, Wageningen, EW  6700, Netherlands","Aalbers, H.L.; Radboud University, Institute for Management Research, Centre for Organization Restructuring, PO Box 9108, Ostrom Building - Office 02.747, Netherlands; email: r.aalbers@fm.ru.nl",,"Elsevier Inc.",01482963,,JBRED,,"English","J. Bus. Res.",Article,"Final",,Scopus,2-s2.0-85064093133
"Cubilla-Montilla M., Nieto-Librero A.-B., Galindo-Villardón M.P., Vicente Galindo M.P., Garcia-Sanchez I.-M.","57206720004;37018634700;6508229340;57193509699;57193363767;","Are cultural values sufficient to improve stakeholder engagement human and labour rights issues?",2019,"Corporate Social Responsibility and Environmental Management","26","4",,"938","955",,8,"10.1002/csr.1733","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061915628&doi=10.1002%2fcsr.1733&partnerID=40&md5=bee94a062069e07734ff24cbd74e88f0","Department of Statistics, Campus Miguel de Unamuno, University of Salamanca, Salamanca, Spain; Universidad de Panamá, Department of Statistics, Ringgold Standard Institution, Panama City, Panama; Instituto Multidisciplianr de Empresa-IME, Campus Miguel de Unamuno, University of Salamanca, Salamanca, Spain","Cubilla-Montilla, M., Department of Statistics, Campus Miguel de Unamuno, University of Salamanca, Salamanca, Spain, Universidad de Panamá, Department of Statistics, Ringgold Standard Institution, Panama City, Panama; Nieto-Librero, A.-B., Department of Statistics, Campus Miguel de Unamuno, University of Salamanca, Salamanca, Spain; Galindo-Villardón, M.P., Department of Statistics, Campus Miguel de Unamuno, University of Salamanca, Salamanca, Spain; Vicente Galindo, M.P., Department of Statistics, Campus Miguel de Unamuno, University of Salamanca, Salamanca, Spain; Garcia-Sanchez, I.-M., Instituto Multidisciplianr de Empresa-IME, Campus Miguel de Unamuno, University of Salamanca, Salamanca, Spain","Cubilla-Montilla, M.; Department of Statistics, Campus Miguel de Unamuno, University of SalamancaSpain; email: mitzi@usal.es",,"John Wiley and Sons Ltd",15353958,,,,"English","Corp. Soc. Responsib. Environ. Manage.",Article,"Final",,Scopus,2-s2.0-85061915628
"Fanea-Ivanovici M.","57210171173;","Prosumers: Key factors for successful filmmaking crowdfunding projects",2019,"International Journal of E-Services and Mobile Applications","11","3",,"48","60",,,"10.4018/IJESMA.2019070104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071264268&doi=10.4018%2fIJESMA.2019070104&partnerID=40&md5=e99ebc90e7f37c4d4b3360a73aac6260","Bucharest University of Economic Studies, Bucharest, Romania","Fanea-Ivanovici, M., Bucharest University of Economic Studies, Bucharest, Romania","Fanea-Ivanovici, M.; Bucharest University of Economic StudiesRomania",,"IGI Global",1941627X,,,,"English","Intl. J. E Serv. Mob. Appl.",Article,"Final",,Scopus,2-s2.0-85071264268
"Sura S.A., Smith L.L., Ambrose M.R., Amorim C.E.G., Beichman A.C., Gomez A.C.R., Juhn M., Kandlikar G.S., Miller J.S., Mooney J., Mummah R.O., Lohmueller K.E., Lloyd-Smith J.O.","53878693900;57210420541;57191888964;24821728100;56868650300;57210414536;57210417748;57201189161;56120295100;57204564114;57210415749;23667772700;6602998795;","Ten simple rules for giving an effective academic job talk",2019,"PLoS Computational Biology","15","7", e1007163,"","",,,"10.1371/journal.pcbi.1007163","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070606430&doi=10.1371%2fjournal.pcbi.1007163&partnerID=40&md5=bbdf76bed43cc6f41dd45a509e85b411","Department of Ecology and Evolutionary Biology, University of California Los Angeles, Los Angeles, CA, United States; Department of Human Genetics, University of California Los Angeles, Los Angeles, CA, United States","Sura, S.A., Department of Ecology and Evolutionary Biology, University of California Los Angeles, Los Angeles, CA, United States; Smith, L.L., Department of Ecology and Evolutionary Biology, University of California Los Angeles, Los Angeles, CA, United States; Ambrose, M.R., Department of Ecology and Evolutionary Biology, University of California Los Angeles, Los Angeles, CA, United States; Amorim, C.E.G., Department of Ecology and Evolutionary Biology, University of California Los Angeles, Los Angeles, CA, United States; Beichman, A.C., Department of Ecology and Evolutionary Biology, University of California Los Angeles, Los Angeles, CA, United States; Gomez, A.C.R., Department of Ecology and Evolutionary Biology, University of California Los Angeles, Los Angeles, CA, United States; Juhn, M., Department of Ecology and Evolutionary Biology, University of California Los Angeles, Los Angeles, CA, United States; Kandlikar, G.S., Department of Ecology and Evolutionary Biology, University of California Los Angeles, Los Angeles, CA, United States; Miller, J.S., Department of Ecology and Evolutionary Biology, University of California Los Angeles, Los Angeles, CA, United States; Mooney, J., Department of Human Genetics, University of California Los Angeles, Los Angeles, CA, United States; Mummah, R.O., Department of Ecology and Evolutionary Biology, University of California Los Angeles, Los Angeles, CA, United States; Lohmueller, K.E., Department of Ecology and Evolutionary Biology, University of California Los Angeles, Los Angeles, CA, United States; Lloyd-Smith, J.O., Department of Ecology and Evolutionary Biology, University of California Los Angeles, Los Angeles, CA, United States","Sura, S.A.; Department of Ecology and Evolutionary Biology, University of California Los AngelesUnited States; email: ssura@ucla.edu",,"Public Library of Science",1553734X,,,"31344032","English","PLoS Comput. Biol.",Editorial,"Final",Open Access,Scopus,2-s2.0-85070606430
"Singhal C., De S.","56045232000;7202304369;","UE-TV: User-Centric Energy-Efficient HDTV Broadcast over LTE and Wi-Fi",2019,"IEEE Transactions on Mobile Computing","18","7", 8430599,"1703","1717",,2,"10.1109/TMC.2018.2864567","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051403136&doi=10.1109%2fTMC.2018.2864567&partnerID=40&md5=58d92d5c1c85cb7681b171718c53d280","Department of Electronics and Electrical Communication Engineering, IIT KharagpurWest Bengal, India; Department of Electrical Engineering, Bharti School of Telecom., IIT Delhi, New Delhi, India","Singhal, C., Department of Electronics and Electrical Communication Engineering, IIT KharagpurWest Bengal, India; De, S., Department of Electrical Engineering, Bharti School of Telecom., IIT Delhi, New Delhi, India","De, S.; Department of Electrical Engineering, Bharti School of Telecom., IIT DelhiIndia; email: swadesd@gmail.com",,"Institute of Electrical and Electronics Engineers Inc.",15361233,,,,"English","IEEE Trans. Mob. Comput.",Article,"Final",,Scopus,2-s2.0-85051403136
"Di Donato M.","57202117516;","Political Islam and Cold war, Islamist alternatives in Iraq and Lebanon (1967-1991) [Islam politico e Guerra fredda: alternative islamiste in Iraq e Libano (1967–1991)]",2019,"Contemporanea","22","3",,"481","499",,,"10.1409/94048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072571037&doi=10.1409%2f94048&partnerID=40&md5=7d0a536cf3f854565c8967258ca6dfbb","Dipartimento di Scienze della Formazione, Scienze Umane e della Comunicazione Interculturale, Università di Siena, viale Luigi Cittadini 33, Arezzo, 52100, Italy","Di Donato, M., Dipartimento di Scienze della Formazione, Scienze Umane e della Comunicazione Interculturale, Università di Siena, viale Luigi Cittadini 33, Arezzo, 52100, Italy","Di Donato, M.; Dipartimento di Scienze della Formazione, Scienze Umane e della Comunicazione Interculturale, Università di Siena, viale Luigi Cittadini 33, Italy; email: marco.didonato@unisi.it",,"Societa Editrice il Mulino",11273070,,,,"Italian","Contemporanea",Article,"Final",,Scopus,2-s2.0-85072571037
"Yumin Y., Bolin L., Shuai L.","57211553213;56950722100;57211551169;","A new optimization algorithm and its comparison on traditional optimization algorithms",2019,"Chinese Control Conference, CCC","2019-July",, 8866517,"2698","2701",,,"10.23919/ChiCC.2019.8866517","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074419625&doi=10.23919%2fChiCC.2019.8866517&partnerID=40&md5=906b75cc98d04aafbc3f858017b3aa71","College of Information Science and Engineering, Jishou University, Jishou, Hunan, 416000, China; Department of Computing, Hong Kong Polytechnic University, Hong Kong, Hong Kong","Yumin, Y., College of Information Science and Engineering, Jishou University, Jishou, Hunan, 416000, China; Bolin, L., College of Information Science and Engineering, Jishou University, Jishou, Hunan, 416000, China; Shuai, L., Department of Computing, Hong Kong Polytechnic University, Hong Kong, Hong Kong","Bolin, L.; College of Information Science and Engineering, Jishou UniversityChina; email: mulinliao8184@163.com","Fu M.Sun J.","IEEE Computer Society",19341768,9789881563972,,,"English","Chinese Control Conf., CCC",Conference Paper,"Final",,Scopus,2-s2.0-85074419625
"Feliu G.","6504638094;","Remences as masters of remences: The tria family of arenys [Remences senyors de remences: La família tria d’arenys]",2019,"Anuario de Estudios Medievales","49","2",,"533","559",,,"10.3989/aem.2019.49.2.06","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074505670&doi=10.3989%2faem.2019.49.2.06&partnerID=40&md5=8972725126d26aa23d39dca85b3eafab","Universitat de Barcelona, Institut d’Estudis Catalans, Spain","Feliu, G., Universitat de Barcelona, Institut d’Estudis Catalans, Spain","Feliu, G.; Universitat de Barcelona, Institut d’Estudis CatalansSpain",,"CSIC Consejo Superior de Investigaciones Cientificas",00665061,,,,"Spanish","Anu. Estud. Mediev.",Article,"Final",Open Access,Scopus,2-s2.0-85074505670
[No author name available],[No author id available],"2019 16th International Conference on Service Systems and Service Management, ICSSSM 2019",2019,"2019 16th International Conference on Service Systems and Service Management, ICSSSM 2019",,,,"","",1048,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074887949&partnerID=40&md5=9706712ec6b18c8a3f9aa14bdf0e9a4f",,"",,,"Institute of Electrical and Electronics Engineers Inc.",,9781728119410,,,"English","Int. Conf. Serv. Syst. Serv. Manag., ICSSSM",Conference Review,"Final",,Scopus,2-s2.0-85074887949
"Spatiotis N., Perikos I., Mporas I., Paraskevas M.","57193556696;27667764000;14036079800;55913427300;","Examining the Impact of Discretization Technique on Sentiment Analysis for the Greek Language",2019,"10th International Conference on Information, Intelligence, Systems and Applications, IISA 2019",,, 8900699,"","",,,"10.1109/IISA.2019.8900699","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075897234&doi=10.1109%2fIISA.2019.8900699&partnerID=40&md5=a9b0110beb581fad5fd899d5d823ea64","University of Peloponnese, Department of Electrical Computer Engineering, Patras, Greece; University of Patras, Computer Engineering Informatics Department, Patras, Greece","Spatiotis, N., University of Peloponnese, Department of Electrical Computer Engineering, Patras, Greece; Perikos, I., University of Patras, Computer Engineering Informatics Department, Patras, Greece; Mporas, I., University of Patras, Computer Engineering Informatics Department, Patras, Greece; Paraskevas, M., University of Peloponnese, Department of Electrical Computer Engineering, Patras, Greece",,,"Institute of Electrical and Electronics Engineers Inc.",,9781728149592,,,"English","Int. Conf. Inf., Intell., Syst. Appl., IISA",Conference Paper,"Final",,Scopus,2-s2.0-85075897234
"Etesami S.R.","55845944700;","Sequential optimization for state-dependent opinion dynamics",2019,"Proceedings of the American Control Conference","2019-July",, 8814834,"754","759",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072299953&partnerID=40&md5=7980cc12252a4e20b8f0fa9325ff135d","University of Illinois at Urbana-Champaign, Urbana, IL  61801, United States","Etesami, S.R., University of Illinois at Urbana-Champaign, Urbana, IL  61801, United States","Etesami, S.R.; University of Illinois at Urbana-ChampaignUnited States; email: etesami1@illinois.edu",,"Institute of Electrical and Electronics Engineers Inc.",07431619,9781538679265,PRACE,,"English","Proc Am Control Conf",Conference Paper,"Final",,Scopus,2-s2.0-85072299953
[No author name available],[No author id available],"Gold medal award for life achievement in the application of psychology: Bruce E. Wampold",2019,"The American psychologist","74","5",,"532","536",,,"10.1037/amp0000485","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069850557&doi=10.1037%2famp0000485&partnerID=40&md5=700811a68a4b8efab6951a1f0cfa4558",,"",,,"NLM (Medline)",1935990X,,,"31305097","English","Am Psychol",Article,"Final",,Scopus,2-s2.0-85069850557
"Chambon M.","57189836648;","Chinese catholic nuns and the organization of religious life in contemporary China",2019,"Religions","10","7", 447,"","",,,"10.3390/rel10070447","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070714500&doi=10.3390%2frel10070447&partnerID=40&md5=ed0788788f8b458f79cfa11974803d65","Anthropology Department, Hanover College, Hanover, IN  47243, United States","Chambon, M., Anthropology Department, Hanover College, Hanover, IN  47243, United States","Chambon, M.; Anthropology Department, Hanover CollegeUnited States; email: chambonmc@yahoo.fr",,"MDPI AG",20771444,,,,"English","Religions",Article,"Final",Open Access,Scopus,2-s2.0-85070714500
