PT;AU;BA;BE;GP;AF;BF;CA;TI;SO;SE;BS;LA;DT;CT;CY;CL;SP;HO;DE;ID;AB;C1;RP;RI;OI;FU;FX;CR;NR;TC;Z9;U1;U2;PU;PI;PA;SN;EI;BN;J9;JI;PD;PY;VL;IS;PN;SU;SI;MA;BP;EP;AR;DI;D2;EA;PG;WC;SC;GA;UT;PM;OA;HC;HP;DA
J;Montes, NV;;;;Vigil Montes, Nestor;;;The current challenges of Diplomatics from an Iberian perspective: the expansion of spatial and chronological horizons, new research fields, the adaptation to new technologies;REVISTA PORTUGUESA DE HISTORIA;;;Spanish;Article;;;;;;"Diplomatics; History of Diplomatics; Digital Humanities; E-Learning; Historiography";;Diplomatics are a scientific discipline which has undergone enormous changes in the last decades, from a specialty oriented essentially to the documentation produced in Christian Western Europe in the early medieval period to a transversal and available method for different chrono-spatial contexts. Currently there are works that exploit the Diplomatics method for new issues such as the document of the Modern Ages, the administrative document, the notarial institutition, the mercantile document, the lordly chancelleries, the lay cartularies. In the present work, we intend to make an assessment of the expansion of the discipline in recent decades and outline the different paths to be taken. We also intend to analyze the relationship of the Diplomatic with new technologies, from the point of view of the possibilities for teaching, as well as, the potential of editing with XML markup languages to expand the knowledge of the discipline.;[Vigil Montes, Nestor] Univ Murcia, Murcia, Spain;Montes, NV (reprint author), Univ Murcia, Murcia, Spain.;;;;;;105;0;0;0;0;UNIV COIMBRA, FAC LETRAS;COIMBRA;CENTRO HIST SOCIEDADE, LARGO PORTA FERREA, COIMBRA, 3004-530, PORTUGAL;0870-4147;2183-3796;;REV PORT HIST;Rev. Port. Hist.;;2018;;49;;;;;121;138;;10.14195/0870-4147_49_5;;;18;History;History;IK8IU;WOS:000476839600006;;Bronze;;;07/02/2020
J;Ward, M;;;;Ward, Megan;;;Steampunk and Nineteenth-Century Digital Humanities: Literary Retrofuturisms, Media Archaeologies, Alternate Histories;POSTMODERN CULTURE;;;English;Book Review;;;;;;;;;[Ward, Megan] Oregon State Univ, English, Corvallis, OR 97331 USA;Ward, M (reprint author), Oregon State Univ, English, Corvallis, OR 97331 USA.;;;;;;3;0;0;0;0;JOHNS HOPKINS UNIV PRESS;BALTIMORE;JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, MD 21218-4363 USA;1053-1920;;;POSTMOD CULT;Postmod. Cult.;JAN;2018;28;2;;;;;123;127;;10.1353/pmc.2018.0017;;;5;Humanities, Multidisciplinary;Arts & Humanities - Other Topics;IB3TC;WOS:000470189100008;;;;;07/02/2020
J;Morgan, PC;;;;Morgan, Paige C.;;;The consequences of framing digital humanities tools as easy to use;COLLEGE & UNDERGRADUATE LIBRARIES;;;English;Article;;;;;;"DH pedagogy; DH tools; digital humanities; infrastructure";LIBRARIES;This article examines the recurring ways in which some of the most popular DH tools are presented as easy to use. It argues that attempts to couch powerful tools in what is often false familiarity, directly undermines the goal of encouraging scholarly innovation and risk taking. The consequences of framing digital tools as either easy or more difficult shapes the relationship between librarians and the students and faculty whose research they support, and, more broadly, the role and viability of libraries as spaces devoted to skill acquisition.;[Morgan, Paige C.] Univ Miami, Miami, FL USA;Morgan, PC (reprint author), Univ Miami, Otto G Richter Lib, 1300 Mem Dr, Coral Gables, FL 33146 USA.;;Morgan, Paige/0000-0001-8076-7356;;;;34;0;0;1;1;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD;ABINGDON;2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND;1069-1316;1545-2530;;COLL UNDERGRAD LIBR;Coll. Undergrad. Libr.;;2018;25;3;;;;;211;231;;10.1080/10691316.2018.1480440;;;21;Information Science & Library Science;Information Science & Library Science;IA8QB;WOS:000469822300002;;Green Accepted;;;07/02/2020
J;Miller, A;;;;Miller, A.;;;Text Mining Digital Humanities Projects: Assessing Content Analysis Capabilities of Voyant Tools;JOURNAL OF WEB LIBRARIANSHIP;;;English;Article;;;;;;"Content analysis; data visualization; digital humanities; digital scholarship; Drupal; text-mining; Voyant Tools";;Text mining is a method that aids in the analytic process and interpretation of research. Voyant Tools (voyant tools.org ) is an open source text-mining option that is user-friendly and well documented. This tool was chosen as a test study for one of the latest projects, entitled Trials and Triumphs, at Middle Tennessee State University. The Trials and Triumphs project has been reengineered with new content, themes, and connections relating to Tennessee's history between 1865 and 1965. Transformations are not just the subject during this historic time period but are equally met with transformative technical upgrades to the project's previous interpretative layout. Digital Scholarship Initiatives at Middle Tennessee State University's Walker Library tested the application and use of Voyant Tools to determine whether its text analysis capabilities are well suited for the Trials and Triumphs revitalization project (now called Trials, Triumphs, and Transformations: Tennesseans' Search for Citizenship, Community, and Opportunity) and whether its interoperability with Drupal was worth pursuing. The author describes the results of this test study and consequently intends this article to be a practical guide for librarians or similar scholars who develop digital humanities projects, and who are interested in beginning a text mining project.;[Miller, A.] Middle Tennessee State Univ, Murfreesboro, TN 37130 USA;Miller, A (reprint author), Middle Tennessee State Univ, Murfreesboro, TN 37130 USA.;;;;;;11;1;1;4;6;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD;ABINGDON;2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND;1932-2909;1932-2917;;J WEB LIBRARIANSH;J. Web Llibrariansh.;;2018;12;3;;;;;169;197;;10.1080/19322909.2018.1479673;;;29;Information Science & Library Science;Information Science & Library Science;IB0HZ;WOS:000469940200003;;;;;07/02/2020
J;Dohl, F;;;;Dohl, Frederic;;;Potentials and Risks of the Archival Turn within the Digital Humanities as it Relates to Musicology;ARCHIV FUR MUSIKWISSENSCHAFT;;;German;Article;;;;;;"digital humanities; digital musicology; digital turn; archival turn; digital archive";GENRE;"This article deals with current dynamics emanating from the digital humanities and the challenges they pose for the traditional field of musicology. Moving from this description and the dominant reaction so far from musicology with projects related to infrastructure and digital editions of canonical topics, the article then focuses on heretofore overlooked opportunities and risks. A potentially crucial issue is explored in greater detail regarding a recent trend in developments concerning the ""archival turn"" in this ""digital turn"": the dissolution of the traditional limits between archives and research and the consequences of this for future historiographical work.";"[Dohl, Frederic] Tech Univ Dortmund, Dortmund, Germany; [Dohl, Frederic] Deutsch Natl Bibliothek, Strategiereferent Digital Humanities, Frankfurt, Germany";"Dohl, F (reprint author), Tech Univ Dortmund, Dortmund, Germany.; Dohl, F (reprint author), Deutsch Natl Bibliothek, Strategiereferent Digital Humanities, Frankfurt, Germany.";;;;;;73;0;0;3;3;FRANZ STEINER VERLAG GMBH;STUTTGART;BIRKENWALDSTRABE 44, D-70191 STUTTGART, GERMANY;0003-9292;;;ARCH MUSIKWISS;Arch. Musikwiss.;;2018;75;4;;;;;301;320;;;;;20;Music;Music;HW0AV;WOS:000466344200003;;;;;07/02/2020
J;Opitz, R;;;;Opitz, Rachel;;;Publishing Archaeological Excavations at the Digital Turn;JOURNAL OF FIELD ARCHAEOLOGY;;;English;Article;;;;;;"Publication; Multimedia; Digital Humanities; Methodology; 3D";"COMMUNICATION; PUBLICATION; SCIENCE; FUTURE";This paper engages with repeated calls within archaeology for a re-envisioning of the excavation report, contextualized by the transformation of scholarly communication taking place across the humanities and social sciences. This widespread transformation is rooted in a growing interest in showing data together with synthesis and argument, the importance afforded to public engagement, and the proliferation of digital platforms that enable creative presentations of scholarly work. In this context, we discuss our experience producing an excavation report that attempts to integrate several forms of scholarly and public-facing communication on a digital platform, and aims to engage audiences at multiple levels, while simultaneously facilitating data reuse and laying out the authors' current interpretations. We consider the benefits and challenges of producing work in this way through the example of producing the Gabii Project's first volume, A Mid-Republican House from Gabii, developed through a collaboration between the Gabii Project team and the University of Michigan Press. This experience is contextualized within the broader discourse surrounding changing expectations about open access, authorship and credit, and sustainability of digital scholarship in academic publishing.;[Opitz, Rachel] Univ Glasgow, Archaeol, Glasgow, Lanark, Scotland;Opitz, R (reprint author), Univ Glasgow, Sch Humanities, Archaeol, Gregory Bldg, Glasgow G12 8QQ, Lanark, Scotland.;;;"Andrew W. Mellon Foundation; National Endowment for the Humanities [HD 51753]";"This work was supported by Andrew W. Mellon Foundation [Building a Hosted Platform for Managing Monographic Source Materials]; National Endowment for the Humanities [HD 51753]";;94;4;4;1;2;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD;ABINGDON;2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND;0093-4690;2042-4582;;J FIELD ARCHAEOL;J. Field Archaeol.;;2018;43;;;1;SI;;S68;S82;;10.1080/00934690.2018.1505409;;;15;Archaeology;Archaeology;HP6GT;WOS:000461782800007;;Bronze, Green Accepted;;;07/02/2020
J;"Arnold, E; Muller, S; Gacia, V";;;;"Arnold, Eckhart; Mueller, Stefan; Gacia, Veronika";;;"News about the ""Digital Humanities""";ARCHIV FUR DAS STUDIUM DER NEUEREN SPRACHEN UND LITERATUREN;;;German;Article;;;;;;"Digital Humanities; Open Access";;"Digital Humanities (DH) is a fashionable topic. At the same time it remains somewhat unclear which technologies and practices belong to Digital Humanities and which of these should be taught in the humanities curricula. Also, there is a critical discussion about how the use of DH-technologies is going to transform the humanities and whether this is desirable. In this review-article we take a look at a) some of the introductory and textbook literature on Digital Humanities, including printed as well as internet resources, and b) some of the literature and internet blogs that aim at a critical discussion of Digital Humanities. Finally, c) we also take a look at the discussion about the current state of Open Access, which to us seems to be a pre-requirement to fully exploit the potential the internet-technology for the humanities. We find that by now a considerable introductory literature on DH-technologies exists, though at least the printed books are often collected volumes that provide a somewhat inhomogeneous reading experience. The same is also true for literature that critically discusses Digital Humanities with the notable exception of the book ""Digital Humanities"" written by David M. Berry and Anders Fagerjord.";"[Arnold, Eckhart; Mueller, Stefan; Gacia, Veronika] Bayerische Akad Wissensch, Munich, Germany";Arnold, E (reprint author), Bayerische Akad Wissensch, Munich, Germany.;;;;;;1;0;0;0;0;ERICH SCHMIDT VERLAG;BERLIN-TIERGARTEN;GENTHINER STRASSE 30G, D-10785 BERLIN-TIERGARTEN, GERMANY;0003-8970;;;ARCH STUD NEUE SPR;Arch. Stud. Neuer. Sprachen Lit.;;2018;255;2;;;;;364;372;;;;;9;"Language & Linguistics; Literature";"Linguistics; Literature";HM1SH;WOS:000459232600009;;;;;07/02/2020
J;Hanssen, JM;;;;Hanssen, Jens-Morten;;;DIGITAL HUMANITIES AND THEATRE STUDIES: NEW PERSPECTIVES ON THE EARLY RECEPTION OF IBSEN ON THE GERMAN STAGE;IBSEN STUDIES;;;English;Article;;;;;;;;;[Hanssen, Jens-Morten] Natl Lib Norway, Oslo, Norway;Hanssen, JM (reprint author), Natl Lib Norway, Oslo, Norway.;;;;;;24;0;0;0;0;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD;ABINGDON;2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND;1502-1866;1741-8720;;IBSEN STUD;Ibsen Stud.;;2018;18;2;;;;;113;140;;10.1080/15021866.2018.1550875;;;28;Theater;Theater;HM0AK;WOS:000459106500002;;;;;07/02/2020
J;"Huang, JW; Bagher, MM; Ross, HD; Piekielek, N; Wallgrun, JO; Zhao, JY; Klippel, A";;;;"Huang, Jiawei; Bagher, Mahda M.; Ross, Heather Dohn; Piekielek, Nathan; Wallgrun, Jan Oliver; Zhao, Jiayan; Klippel, Alexander";;;From Archive, to Access, to Experience-Historical Documents as a Basis for Immersive Experiences;JOURNAL OF MAP & GEOGRAPHY LIBRARIES;;;English;Article;;;;;;"virtual reality; augmented reality; 3D modeling; procedural modeling; digital humanities; reconstruction; virtual environment; historical documents";"VIRTUAL-REALITY; MIXED REALITY; MAPS";Libraries have been the key to preserving culture and historic legacy for centuries. One such treasure cataloged in The Pennsylvania State University (Penn State) Libraries is a collection of over 33,000 Sanborn (TM) Fire Insurance Maps. Originally kept safe in metal drawers, the library has embarked on a journey to digitize this abundance of information, combine it with other media such as photographs, and make it accessible through a web interface. Inspired by these efforts we accessed this information and took it to the next level. Using state of the art 3D modeling and immersive technologies, we created a historic 3D model and immersive experiences of Penn State, exemplarily for the 1922 campus. The resulting experiences can be accessed through the web but also through head mounted displays (HMDs) and mobile phones in combination with VR viewers such as the Google Cardboard. Additionally, they can be used anywhere in the world or on the campus itself as a way to enable remote and in situ experiences and learning. Immersive experiences let us connect to the past, the present and the future, and as such offer value to digital cultural heritage efforts.;"[Huang, Jiawei; Bagher, Mahda M.; Wallgrun, Jan Oliver; Zhao, Jiayan; Klippel, Alexander] Penn State Univ, Dept Geog, ChoroPhronesis, 302 Walker Bldg, University Pk, PA 16802 USA; [Ross, Heather Dohn; Piekielek, Nathan] Penn State Univ, Univ Lib, Donald W Hamer Ctr Maps & Geospatial Informat, University Pk, PA 16802 USA";Huang, JW (reprint author), Penn State Univ, Dept Geog, ChoroPhronesis, 302 Walker Bldg, University Pk, PA 16802 USA.;;"KLIPPEL, ALEXANDER/0000-0002-7171-492X; Piekielek, Nathan/0000-0002-2740-0675";Marie Bednar Libraries Internship Program Endowment;We thank our colleagues at the Donald W. Hamer Center for Maps and Geospatial Information, University Libraries, The Pennsylvania State University, for providing expertise and insights in support of our work. We also thank the library interns who worked on preparing shapefiles for this project, and Marie Bednar Libraries Internship Program Endowment for generously supporting their hard work.;;33;0;0;0;0;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD;ABINGDON;2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND;1542-0353;1542-0361;;J MAP GEOGR LIBR;J. Map Geogr. Libr.;;2018;14;1;;;;;40;63;;10.1080/15420353.2018.1498427;;;24;Information Science & Library Science;Information Science & Library Science;HL5PB;WOS:000458779600004;;;;;07/02/2020
J;"Ciric, J; Jadresin, M";;;;"Ciric, Josip; Jadresin, Maja";;;The Reception of Croatian Philosophers and Digital Humanities;SIC-A JOURNAL OF LITERATURE CULTURE AND LITERARY TRANSLATION;;;Croatian;Article;;;;;;"digital humanities; national philosophies; encyclopedia; dictionary";;This paper discusses links between digital humanities and philosophy, which have been connected for a long time. The paper focuses on the representation of Croatian philosophers in specialized encyclopedias and dictionaries. Main areas at the intersection of the two disciplines are targeted: generating repositories, creating social networks for experts, and new approaches to analyzing digitalized content. In this context, the paper analyzes the (under-) representation of several Croatian philosophers in tertiary sources. The results show that the number of philosophers with name entries in encyclopedias is small, that the number of languages for the existing articles is also small, and that there are certain inaccuracies in those articles. Finally, the paper suggests certain procedures to remedy the present condition.[1];"[Ciric, Josip; Jadresin, Maja] Univ Zadar, Zadar, Croatia";Ciric, J (reprint author), Univ Zadar, Zadar, Croatia.;;;;;;67;0;0;0;0;UNIV ZADAR;ZADAR;MIHOVILA PAVLINOVICA, ZADAR, 23000, CROATIA;1847-7755;;;SIC;Sic;;2018;;16;;;;;;;;10.15291/sic/2.8.lc.2;;;22;Literature;Literature;HK9RK;WOS:000458329300013;;DOAJ Gold;;;07/02/2020
J;"Ciula, A; Fide, O; Marras, C; Sahle, P";;;;"Ciula, Arianna; Fide, Oyvind; Marras, Cristina; Sahle, Patrick";;;Models and Modelling between Digital and Humanities. Remarks from a Multidisciplinary Perspective;HISTORICAL SOCIAL RESEARCH-HISTORISCHE SOZIALFORSCHUNG;;;English;Article;;;;;;"Modelling; Digital Humanities; Multidisciplinarity; Visualization";;"We here introduce the latest issue of Historical Social Research Supplement(No. 31). In ""Models and Modelling between Digital and Humanities - A Multidisciplinary Perspective"" we refrain from providing a normative definition of 'model' and 'modelling' and rather attempt at encircling the current state of the art. In the first instance this chapter provides a very brief overview on modelling as intended as a research strategy applied to scientific fields in the 20th-21st centuries. This overview is followed by a short introduction to modelling in digital humanities, focusing on how modelling has developed into a practical strategy and how it has been theorised. The third part of the introduction presents the scope of the project ""Modelling between digital and humanities: Thinking in practice"". The aim of a project workshop held in 2017, of which HSR Supplement 31 collects the proceedings, was to present a multitude of modelling practices from various disciplines together with different theoretical frameworks. The fourth part of this introduction offers an overview of each of the papers in that volume. Finally, a fifth section constitutes the first item of the proceedings as it reproduces an adaptation of the dialogue which was performed to introduce the main topics of the workshop and the scope of the project at the event itself. It serves to illustrate the way we organised the workshop and how the exchanges amongst participants were facilitated.";"[Ciula, Arianna] Kings Coll London, Kings Digital Lab, 22 Kingsway, London WC2B 6LE, England; [Fide, Oyvind] Univ Cologne, Inst Digital Humanities, Albertus Magnus Pl, D-50923 Cologne, Germany; [Marras, Cristina] CNR, Ist Lessico Intellettuale Europeo & Storia Idee, Via Carlo Fea 2, I-00161 Rome, Italy; [Sahle, Patrick] Univ Cologne, Cologne Ctr eHumanities, Albertus Magnus Pl, D-50923 Cologne, Germany";Ciula, A (reprint author), Kings Coll London, Kings Digital Lab, 22 Kingsway, London WC2B 6LE, England.;;;;;;37;0;0;0;3;GESIS LEIBNIZ INST SOCIAL SCIENCES;COLOGNE;UNTER SACHSENHAUSEN 6-8, COLOGNE, D-50667, GERMANY;0172-6404;;;HIST SOC RES;Hist. Soc. Res.;;2018;43;4;;;SI;;343;361;;10.12759/hsr.43.2018.4.343-361;;;19;"History; History Of Social Sciences; Social Sciences, Interdisciplinary";"History; Social Sciences - Other Topics";HK6NS;WOS:000458098000015;;;;;07/02/2020
J;Andresoo, J;;;;Andresoo, Jane;;;THE HUNDRED-YEAR-OLD NATIONAL LIBRARY'S MESSAGE TO FUTURE GENERATIONS;BOSNIACA-JOURNAL OF THE NATIONAL AND UNIVERSITY LIBRARY OF BOSNIA AND HERZEGOVINA;;;English;Article;;;;;;"openness; vanishing boundaries; library space; rebuilding premises; customer-centred approach; digital competencies; support to e-governance; library's image; changing attitudes";;The role and tasks of the library as an institution have considerably changed. Libraries are more and more regarded as powers that create and connect communities. The National Library of Estonia keeps that in mind when maintaining and establishing networks both as a humanities library as well as a social sciences and parliamentary library. Partnerships with libraries and memory institutions are especially important, as we are becoming a central service development institution for Estonian libraries. A great change has taken place in our way of thinking. The National Library of Estonia is no longer collection-centred, not only carrying out the mission to preserve cultural heritage, but is also human-centred, customer-centred. Our goals are to make collections available as much as possible, to address our users, and to provide an inspiring environment via the library space. The modern national library should indeed remind of a modern public library - the library of the whole nation. It is a place from where to draw inspiration, where to create and expose the creation, and where to hold discussions and debates. Today we offer a bulk of digital content as open data and the development of digital humanities services is in progress. Still we have to admit that the library's role in teaching people how to use (open) data and how to support users with digital competencies should increase. Libraries are facing a never-ending work in developing the digital competences of their staff, who, in turn, will teach the library users, the citizens of e-governed state. The vision of the National Library of Estonia for the coming years is to be the library of a new generation and the developer of librarianship ideas by providing an open, inspiring, and participatory environment for activities. We have used a metaphor of a bridge while drawing up our new strategy. We aim to create a bridge between knowledge and people. A bridge that every new generation will build again and what will become ever more telling, significant and lasting by every generation.;[Andresoo, Jane] Natl Lib Estonia, Tallinn, Estonia;Andresoo, J (reprint author), Natl Lib Estonia, Tallinn, Estonia.;;;;;;7;0;0;1;1;NATL & UNIV LIBRARY BOSNIA & HERZEGOVINA;SARAJEVO;ZMAJA OD BOSNE 8B, SARAJEVO, 71000, BOSNIA & HERCEG;1512-5033;2303-8888;;BOSNIACA;Bosniaca;;2018;;23;;;;;90;94;;;;;5;Information Science & Library Science;Information Science & Library Science;HJ3CJ;WOS:000457046900011;;;;;07/02/2020
J;Mastilovic, A;;;;Mastilovic, Anja;;;NULB&H IN THE INTERNATIONAL PROJECT OF DARIAH NETWORK (DIGITAL RESEARCH INFRASTRUCTURE FOR ART AND HUMANITIES);BOSNIACA-JOURNAL OF THE NATIONAL AND UNIVERSITY LIBRARY OF BOSNIA AND HERZEGOVINA;;;Croatian;Editorial Material;;;;;;;;;[Mastilovic, Anja] Nacl & Univ Biblioteka Bosne & Hercegovine, Sarajevo, Bosnia & Herceg;Mastilovic, A (reprint author), Nacl & Univ Biblioteka Bosne & Hercegovine, Sarajevo, Bosnia & Herceg.;;;;;;0;0;0;0;0;NATL & UNIV LIBRARY BOSNIA & HERZEGOVINA;SARAJEVO;ZMAJA OD BOSNE 8B, SARAJEVO, 71000, BOSNIA & HERCEG;1512-5033;2303-8888;;BOSNIACA;Bosniaca;;2018;;23;;;;;110;111;;;;;2;Information Science & Library Science;Information Science & Library Science;HJ3CJ;WOS:000457046900015;;;;;07/02/2020
J;Lewis, JP;;;;Lewis, Jonathan P.;;;Steampunk and Nineteenth Century Digital Humanities: Literary Retrofuturism, Media Archaeologies, Alternative Histories;EXTRAPOLATION;;;English;Book Review;;;;;;;;;;;;;;;;2;0;0;0;0;UNIV TEXAS BROWNSVILLE & TEXAS SOUTHMOST COLL;BROWNSVILLE;DEPT ENGLISH, 80 FORT BROWN, BROWNSVILLE, TX 78520 USA;0014-5483;2047-7708;;EXTRAPOLATION;Extrapolation;JAN;2018;59;3;;;;;310;312;;;;;3;Literature;Literature;HJ7WE;WOS:000457407200007;;;;;07/02/2020
J;Ryan, YC;;;;Ryan, Yann Ciaran;;;'MORE DIFFICULT FROM DUBLIN THAN FROM DIEPPE' Ireland and Britain in a European network of communication;MEDIA HISTORY;;;English;Article;;;;;;"News; networks; digital humanities; Ireland; Britain; Moderate Intelligencer";;Recent Early Modern news histories have tended to emphasise the international scope of the networks on which news travelled. New techniques, falling under the umbrella term 'digital humanities', allow for the examination of news as a complete network, and this article will explore the ways in which, using these techniques, the connections between Ireland and Britain can be thought of as not only local, peripheral and bilateral but also within a larger, European news system. Using network science, originally developed for the analysis of the World Wide Web, this article shows that the European system has universal network properties: it is scale-free, divided into clusters and exhibits the 'small world' phenomenon, explaining its resilience to interruption and the relative efficiency of early modern information transfer.;[Ryan, Yann Ciaran] Queen Mary Univ London, Sch English & Drama, London E1 4NS, England;Ryan, YC (reprint author), Queen Mary Univ London, Sch English & Drama, London E1 4NS, England.;;;;;;37;0;0;0;0;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD;ABINGDON;2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND;1368-8804;1469-9729;;MEDIA HIST;Media Hist.;;2018;24;03-Apr;;;SI;;458;476;;10.1080/13688804.2018.1488585;;;19;Communication;Communication;HI8WR;WOS:000456737100013;;;;;07/02/2020
J;"Berra, A; Clivaz, C; Marcotte, S; Morlock, E";;;;"Berra, Aurelien; Clivaz, Claire; Marcotte, Sophie; Morlock, Emmanuelle";;;Introduction;DIGITAL HUMANITIES QUARTERLY;;;French;Editorial Material;;;;;;;;This is the introduction to Digital Humanities Quarterly's special French-language issue.;"[Berra, Aurelien] Univ Paris Nanterre, Nanterre, France; [Clivaz, Claire] Inst Suisse Bioinformat, Lausanne, Switzerland; [Marcotte, Sophie] Concordia Univ, Montreal, PQ, Canada; [Morlock, Emmanuelle] CNRS, Paris, France";Berra, A (reprint author), Univ Paris Nanterre, Nanterre, France.;;;;;;22;0;0;0;0;ALLIANCE DIGITAL HUMANITIES ORGANIZATIONS;BOSTON;SNELL LIBRARY 213, NORTHEASTERN UNIV, BOSTON, MA 02115 USA;1938-4122;;;DIGIT HUMANITIES Q;DIGIT. HUMANITIES Q.;;2018;12;1;;;SI;;;;UNSP 000366;;;;8;Humanities, Multidisciplinary;Arts & Humanities - Other Topics;HI7QP;WOS:000456651100008;;DOAJ Gold;;;07/02/2020
J;Blanke, T;;;;Blanke, Tobias;;;Predicting the Past;DIGITAL HUMANITIES QUARTERLY;;;English;Article;;;;;;;"MACHINE LEARNING-METHODS; HUMANITIES";Digital humanities have a long tradition of using advanced computational techniques and machine learning to aid humanistic enquiry. In this paper, we concentrate on a specific subfield of machine learning called predictive analytics and its use in digital humanities. Predictive analytics has evolved from descriptive analytics, which creates summaries of data, while predictive analytics predicts relationships within the data that also help to explain new data. Predictive analytics uses machine learning techniques but also traditional statistical methods. It uses properties (or features) of the data to predict another target feature in the data. Machine learning is used by predictive analytics to establish the rules that given a certain combination of features make the target more or less likely. Predictive analytics can thus be considered to be a technique to machine-read data. The paper discusses the background of predictive analytics, its use for predicting the past and finally presents a case study in predicting past gender relations in a historical dataset. Predicting the past is introduced as a method to explore relationships in past data.;[Blanke, Tobias] Kings Coll London, Dept Digital Humanities, London, England;Blanke, T (reprint author), Kings Coll London, Dept Digital Humanities, London, England.;;Blanke, Tobias/0000-0003-0956-987X;;;;39;0;0;0;0;ALLIANCE DIGITAL HUMANITIES ORGANIZATIONS;BOSTON;SNELL LIBRARY 213, NORTHEASTERN UNIV, BOSTON, MA 02115 USA;1938-4122;;;DIGIT HUMANITIES Q;DIGIT. HUMANITIES Q.;;2018;12;2;;;;;;;;;;;22;Humanities, Multidisciplinary;Arts & Humanities - Other Topics;HI7QS;WOS:000456651400010;;DOAJ Gold;;;07/02/2020
J;"Cocco, C; Dessart, G; Serbaeva, O; Brandt, PY; Vinck, D; Darbellay, F";;;;"Cocco, Christelle; Dessart, Gregory; Serbaeva, Olga; Brandt, Pierre-Yves; Vinck, Dominique; Darbellay, Frederic";;;Potentialities and difficulties of a digital humanities (DH) project: confrontation with tools and reorientations of research;DIGITAL HUMANITIES QUARTERLY;;;French;Article;;;;;;;"DRAWINGS; EMERGENCE; ART";;"[Cocco, Christelle; Dessart, Gregory; Serbaeva, Olga; Brandt, Pierre-Yves; Vinck, Dominique] Univ Lausanne, Lausanne, Switzerland; [Serbaeva, Olga] Univ Zurich, Zurich, Switzerland; [Darbellay, Frederic] Univ Geneva, Geneva, Switzerland";Cocco, C (reprint author), Univ Lausanne, Lausanne, Switzerland.;;;;;;55;0;0;0;1;ALLIANCE DIGITAL HUMANITIES ORGANIZATIONS;BOSTON;SNELL LIBRARY 213, NORTHEASTERN UNIV, BOSTON, MA 02115 USA;1938-4122;;;DIGIT HUMANITIES Q;DIGIT. HUMANITIES Q.;;2018;12;1;;;SI;;;;UNSP 51;;;;17;Humanities, Multidisciplinary;Arts & Humanities - Other Topics;HI7QP;WOS:000456651100013;;DOAJ Gold;;;07/02/2020
